timestamp,payload
2026-06-30T17:20:34.070917,"{""temp"":27.1,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:35.054350,"{""temp"":27.1,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:36.059775,"{""temp"":27.1,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:37.059752,"{""temp"":27.1,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:38.062531,"{""temp"":27.1,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:39.348703,"{""temp"":27.2,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:40.060841,"{""temp"":27.2,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:41.060491,"{""temp"":27.2,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:42.059990,"{""temp"":27.2,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:43.060874,"{""temp"":27.2,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:44.060827,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:45.060281,"{""temp"":27.2,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:46.059589,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:47.061014,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:48.059457,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:49.066466,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:50.088616,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:51.060311,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:52.059993,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:53.088690,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:54.063304,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:55.062086,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:56.059708,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:57.060349,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:58.061966,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:59.060474,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:00.060937,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:01.073122,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:02.073259,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:03.079431,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:04.079489,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:05.120853,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:06.091374,"{""temp"":27.2,""humidity"":50.5,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:07.089473,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
